Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Primary energy consumption per capita (kWh/person),gdp_per_capita
0.3670740627966653,0.435,0.6090170762182424,0.026256352105033895,0.024392329838895284
0.37709960964196615,0.436,0.5714285714285714,0.029664713143402757,0.032163215683057564
0.32962702503906754,0.43799999999999994,0.545710120783007,0.032530847632620846,0.024398695313398645
0.3407001706419973,0.44299999999999995,0.5467513536026655,0.03437771749390367,0.028167686337462444
0.3377062993104306,0.44799999999999995,0.5316534777176176,0.03470985732755661,0.03649479878338882
0.36334050864421535,0.452,0.5150978758850479,0.034912972117415335,0.04042202645968834
0.3749530286674223,0.45799999999999996,0.49927113702623904,0.03763982935584332,0.041676331584372325
0.3113765803227719,0.465,0.5021865889212828,0.0399296994279255,0.04292047867059125
0.4126447302753054,0.47200000000000003,0.49812578092461474,0.04016657301561566,0.03286043786030043
0.4107523323571424,0.478,0.5105164514785506,0.03535742851434541,0.027504728376088482
0.42290582683739586,0.484,0.5856934610578926,0.03255074465863106,0.03228370798083516
0.44596195160968893,0.491,0.5972511453561016,0.03250726282489101,0.025750877868144447
0.44953469194001433,0.495,0.5694502290712202,0.03541413576270501,0.02186101499088484
0.46217103295924145,0.502,,0.03405969146428689,0.01348629688887939
0.9765995635178684,1.0,0.0,0.27479451890767886,0.08719747027901019
0.9775716871233376,1.0,0.0,0.27062359819150955,0.08310537908693766
1.0,1.0,0.0,0.28641234459582576,0.08337872308736434
0.9793091447720732,1.0,0.0,0.29765151360795317,0.08659503492416348
0.9801220748458171,1.0,0.0,0.30535546246994083,0.09185440400028902
0.9210108430370239,1.0,0.0,0.30643925893258656,0.1008540659572832
1.0,1.0,0.0,0.3118112338579884,0.1125090912345334
1.0,1.0,0.0,0.3222906464471811,0.12569270979294986
1.0,1.0,0.0,0.32481326682129147,0.12910766262804105
0.9846202035304088,1.0,0.0,0.33516595838532903,0.11384421724721594
0.9857945089972584,1.0,0.0,0.3196709019344583,0.10483626767926979
0.9448293144421597,1.0,0.0008329862557267804,0.3149541721422516,0.1023863361562398
1.0,1.0,0.0015618492294877133,0.3202003627139486,0.10664964081213195
1.0,1.0,0.0015618492294877133,0.3172503787484119,0.10371497590247516
1.0,1.0,0.0014577259475218659,0.32168387647563174,0.10850411221669998
1.0,1.0,0.004997917534360683,0.3266835776098443,0.11485528276919467
1.0,1.0,0.006247396917950853,0.32918120720340904,0.12225719842185442
1.0,1.0,0.006247396917950853,0.31125535314976055,0.12375501066458303
1.0,1.0,0.00937109537692628,0.31891467975637655,0.13425737229467938
1.0,1.0,0.009475218658892127,0.31892712686461594,0.13990603680438501
1.0,1.0,,0.2683054522293215,0.11248429476998682
0.9572981579413652,0.95,0.10256143273635984,0.18202143162216336,0.06155617657781456
0.9545413350952074,0.956,0.11984589754269054,0.17584432481873233,0.05750660761018998
0.9618104641669503,0.961,0.12099125364431486,0.16681689782333972,0.020108846850703438
0.9639752227744105,0.9645,0.11266139108704706,0.17696834021529345,0.026238407840291654
0.9661106136183846,0.972,0.09673052894627238,0.18599646247196863,0.0337578422635681
0.9682407486453761,0.975,0.10037484381507705,0.1953765704093515,0.04050107863629345
0.9703898005627789,0.981,0.09558517284464806,0.20315846578624058,0.04705817111476349
0.9725845851767001,0.983,0.08038317367763431,0.20962484956525407,0.057807037603558466
0.9748526271702972,0.986,0.07965431070387338,0.21032020741189084,0.0721943456616256
0.9772213094513169,0.9890000000000001,0.08944189920866305,0.20234296292741308,0.06574603848392127
0.988050358305601,0.991,0.09152436484797999,0.20768712740151216,0.08325646885278505
0.990838776814544,0.993,0.09194085797584339,0.2114257404460236,0.10321477092032484
0.992202149917355,0.995,0.08965014577259474,0.21721811669361932,0.10510938866921118
0.9933433812064301,0.996,0.09277384423157017,0.22357080594011927,0.10508986228602347
1.0,0.997,0.10193669304456475,0.22094829969507965,0.09904899704770931
0.9962063938346281,0.997,0.09787588504789671,0.22254997890557954,0.11083372496388265
0.9984767244884141,0.998,0.09766763848396502,0.21945589238282362,0.10273972511890282
1.0,0.998,0.1079758433985839,0.21730601896383087,0.11751092306976998
0.9998944785877495,0.998,0.10953769262807163,0.2140164867694192,0.09467599108682817
1.0,0.9990000000000001,0.11182840483132028,0.20013065118268292,0.08058774572960956
1.0,0.9990000000000001,,0.18650447637217296,0.06861373444693579
0.9888605035052214,0.795,0.07455226988754685,0.08951927413949587,0.004139418991025116
1.0,0.8220000000000001,0.056434818825489376,0.08903077583723701,0.004720304033131899
0.9797463700094933,0.8490000000000001,0.09266972094960432,0.08605411121998173,0.005440045736245922
0.9917985963397942,0.877,0.10214493960849645,0.09527080378674058,0.00663033387539458
0.9917894822062984,0.899,0.09069137859225324,0.09940490462415381,0.00875181457760524
0.9979746370009493,0.9159999999999999,0.06757600999583506,0.11585145510944136,0.012413302206014727
0.9917793553913032,0.929,0.07965431070387338,0.11646815186708072,0.016581711646042305
0.9918295236327896,0.9420000000000001,0.07309454394002499,0.13165436746238998,0.02453239715753982
0.9919529897612118,0.95,0.06663890045814244,0.12795014088214557,0.031595319701093846
0.9921770354161669,0.9570000000000001,0.08121615993336109,0.11505990979564243,0.023357862526882312
0.9979746370009493,0.9640000000000001,0.0974593919200333,0.12892762996340512,0.025173370693412175
0.9960080095288711,0.968,0.0834027488546439,0.1365395339567059,0.02766464496501324
0.9962426478323111,0.972,0.06830487296959599,0.1454050036988866,0.028929107066593455
0.9941264473027531,0.975,0.07049146189087879,0.14329123558455395,0.030195932949660356
0.9970632236513765,0.976,0.07371928363182007,0.14663379110816827,0.03139573052737116
1.0,0.978,0.11182840483132028,0.1363962328812429,0.028324941581491382
0.9979746370009493,0.9790000000000001,0.13692211578508953,0.13798083956469304,0.028199650149933513
0.996961955501424,0.98,0.13077884214910454,0.1477665745220151,0.03081467338551215
0.9989873185004747,0.98,0.11588921282798834,0.1461398852181561,0.033294469488956126
1.0,0.98,0.10766347355268638,0.15623193105248362,0.036407102705787904
1.0,0.981,,0.16498981876759336,0.03366300203858844
0.9155464136655851,,0.0018742190753852559,0.4786507662986385,0.16617055206647457
1.0,,0.0018742190753852559,0.4866115659225021,0.16659693433824233
1.0,,0.0018742190753852559,0.49700868661377723,0.16470491176042829
1.0,,0.0018742190753852559,0.5480048173881756,0.16792275557877695
1.0,,0.0019783423573511037,0.5663413487624688,0.18197759133974142
1.0,,0.0019783423573511037,0.6055042676972241,0.1879123555310026
1.0,,0.0019783423573511037,0.597234076802617,0.19395347635618834
1.0,,0.0019783423573511037,0.6079590325014371,0.20844174636619536
1.0,,0.0019783423573511037,0.5640665890355944,0.2185673549576496
1.0,,0.0031236984589754265,0.5554586942857923,0.1986937106524383
0.9327203779478853,,0.056851311953352766,0.5155517395582137,0.18963671068999163
1.0,,0.05893377759266972,0.40630496728457693,0.20156101505053098
1.0,,0.07142857142857142,0.5049532055359407,0.1993526224402522
1.0,,0.07174094127446896,0.4853758548696148,0.2133647365395938
1.0,,0.07215743440233235,0.48889243815481903,0.21702262364264918
1.0,,0.07007496876301542,0.49999534561196946,0.22920957057968175
1.0,,0.07278217409412745,0.4829907900089795,0.22965739208438463
1.0,,0.06976259891711786,0.49739967452115563,0.23693954673051762
1.0,,0.08350687213660973,0.4781380690411835,0.24425281855153194
1.0,,0.07788421491045398,0.49351812734463585,
1.0,,,0.42002414294803725,
1.0,1.0,0.08767180341524364,0.6627477749466266,0.17492207677177724
1.0,1.0,0.0871511870054144,0.659902225019576,0.15733419196839882
